"paper_id","title","venue","year","url","open_source","task","modules","strengths","weaknesses","benchmarks","tags","notes"
"A01","DeepSeek LLM: Scaling Open-Source Language Models with Longtermism","arXiv","2024","https://arxiv.org/abs/2401.02954","yes","frontier llm training; open scaling; dense pretraining","dense transformer; scaling recipe; bilingual corpus; instruction tuning","open scaling evidence; strong dense baseline; bilingual coverage","older dense architecture; weaker long context; dated post-training","MMLU; GSM8K; HumanEval; BBH","open-pretraining;scaling;dense","Useful as an early open scaling anchor and baseline for later DeepSeek system papers."
"A02","OLMo: Accelerating the Science of Language Models","arXiv","2024","https://arxiv.org/abs/2402.00838","yes","frontier llm training; open recipe; transparent pretraining","open data pipeline; dense transformer; full training logs; evaluation harness","full transparency; reproducible training; strong scientific baseline","dense architecture; smaller scale than frontier; limited post-training","MMLU; ARC-C; HellaSwag; GSM8K","open-pretraining;transparency;reproducibility","Best fully open reference stack for controlled experimentation."
"A03","2 OLMo 2 Furious","arXiv","2025","https://arxiv.org/abs/2501.00656","yes","frontier llm training; open recipe; improved pretraining","data curation; optimizer recipe; annealing schedule; dense transformer","strong fully open checkpoints; improved curation; reproducible recipes","dense architecture; not MoE; reasoning still relies on post-training","MMLU; ARC-C; GSM8K; HumanEval","open-pretraining;data-quality;reproducibility","Good fully open upgrade path over OLMo with stronger data and optimization choices."
"A04","OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework","arXiv","2024","https://arxiv.org/abs/2404.14619","yes","frontier llm training; efficient dense architecture; open release","layer-wise scaling; grouped query attention; efficient decoder; open recipe","efficient scaling; compact deployment; transparent release","smaller scale; limited reasoning depth; modest long-context story","MMLU; ARC-C; HellaSwag; PIQA","efficient-architecture;open-release;dense","Useful for efficiency-first ablations and compact distillation targets."
"A05","The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale","arXiv","2024","https://arxiv.org/abs/2406.17557","yes","frontier llm training; data curation; web-scale pretraining","web filtering; deduplication; quality heuristics; open dataset","massive deduplicated corpus; strong accessibility; high-quality filtering","web bias; quality not task-aware; no direct reward signal","MMLU; ARC-C; HellaSwag; downstream LM eval","data-curation;pretraining-data;open-dataset","Strong modern data foundation and a good source for stage-aware data-selection ideas."
"A06","DataComp-LM: In search of the next generation of training sets for language models","arXiv","2024","https://arxiv.org/abs/2406.11794","partial","frontier llm training; data curation; dataset selection","data selection benchmark; quality scoring; subset optimization; training set search","benchmarked data selection; strong curation signal; systematic comparison","expensive candidate scoring; benchmark alignment risk; mostly pretraining-focused","DataComp-LM benchmark; MMLU; ARC-C; HellaSwag","data-curation;benchmark;subset-selection","Treat as the principled data-selection counterpart to FineWeb-style large-scale curation."
"A07","Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing","ICLR 2025","2024","https://arxiv.org/abs/2406.08464","yes","frontier llm training; synthetic alignment data; post-training","aligned teacher prompting; self-instruct generation; data filtering; synthetic chat corpus","low-cost synthetic instruction data; open pipeline; diverse alignment data","teacher bias; synthetic drift; limited verifier control","AlpacaEval 2; MT-Bench; Arena-Hard","synthetic-data;alignment;post-training","Natural bridge between data generation and post-training research."
"A08","DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model","arXiv","2024","https://arxiv.org/abs/2405.04434","yes","frontier llm training; efficient MoE; long context capable","MoE routing; multi-head latent attention; economical training; load balancing","economical MoE; strong cost-performance; long-context support","routing instability risk; reasoning needs stronger post-training; engineering complexity","MMLU; GSM8K; HumanEval; Arena-Hard","moe;efficient-training;long-context","Critical precursor to DeepSeek-V3 and the MLA plus MoE line."
"A09","OLMoE: Open Mixture-of-Experts Language Models","arXiv","2024","https://arxiv.org/abs/2409.02060","yes","frontier llm training; open MoE; transparent sparse pretraining","open MoE routing; sparse experts; open trainer; eval harness","open MoE baseline; reproducible sparse training; modular code","smaller than proprietary frontier; limited long-context; weaker reasoning polish","MMLU; GSM8K; ARC-C; HumanEval","moe;open-pretraining;reproducibility","Best open sparse baseline for controlled MoE experiments."
"A10","DeepSeek-V3 Technical Report","arXiv","2024","https://arxiv.org/abs/2412.19437","yes","frontier llm training; frontier MoE pretraining; efficient reasoning-capable base model","MoE routing; auxiliary-loss-free balance; multi-token prediction; multi-head latent attention","frontier cost-quality tradeoff; stable large-scale training; strong base model","huge systems complexity; closed data details; reasoning still depends on RL","MMLU-Pro; GPQA; AIME 2024; LiveCodeBench","moe;mla;multi-token-prediction;frontier-base","The strongest open-style base-model systems paper in the pool."
"B01","Tulu 3: Pushing Frontiers in Open Language Model Post-Training","arXiv","2024","https://arxiv.org/abs/2411.15124","yes","frontier llm training; open post-training; alignment and reasoning","SFT; preference tuning; rejection sampling; synthetic preference data","open post-training recipe; strong ablation stack; reproducible alignment pipeline","reward quality ceiling; multi-stage cost; weaker deep reasoning than RLVR","IFEval; Arena-Hard; MMLU-Pro; GSM8K","post-training;alignment;open-recipe","Useful as the open post-training baseline and integration bed for new ideas."
"B02","Nemotron-4 340B Technical Report","arXiv","2024","https://arxiv.org/abs/2406.11704","yes","frontier llm training; synthetic data curation; reward modeling","synthetic data generation; reward model; preference data; distillation","strong synthetic-data pipeline; reward model family; open release","heavy teacher stack; expensive post-training compute; less transparent data mix","HelpSteer; MT-Bench; Arena-Hard; MMLU","synthetic-data;reward-model;alignment","Useful for data-engineering-heavy post-training and reward-model baselines."
"B03","Self-Rewarding Language Models","arXiv","2024","https://arxiv.org/abs/2401.10020","partial","frontier llm training; self-rewarding alignment; iterative post-training","LLM-as-judge; iterative DPO; self-generated preference labels; self-improvement loop","removes fixed external reward bottleneck; iterative self-improvement; flexible judge reuse","judge drift; reward hacking risk; saturation across iterations","AlpacaEval 2; MT-Bench","self-rewarding;judge-model;alignment","Important seed for self-improving reward loops but novelty is now crowded."
"B04","Meta-Rewarding Language Models: Self-Improving Alignment with LLM-as-a-Meta-Judge","EMNLP 2025","2024","https://arxiv.org/abs/2407.19594","partial","frontier llm training; self-improving reward models; iterative post-training","meta-judge; reward self-improvement; preference optimization; iterative labeling","meta-judge improves reward quality; explicit self-improving alignment; stronger judge adaptation","extra judge-training cost; meta-overfitting risk; evaluation leakage risk","AlpacaEval 2; MT-Bench; Arena-Hard","self-rewarding;meta-judge;alignment","Good follow-up that exposes the next bottleneck after basic self-rewarding."
"B05","Process-based Self-Rewarding Language Models","Findings ACL 2025","2025","https://aclanthology.org/2025.findings-acl.930/","no","frontier llm training; process-level self-rewarding reasoning","process rewards; stepwise verifier; self-rewarding loop; reasoning supervision","step-level credit assignment; stronger reasoning signal; process supervision","annotation or rollout cost; longer training loops; brittle process decomposition","MATH-500; AIME 2024; process reward eval","process-rewards;self-rewarding;reasoning","Useful for moving self-rewarding beyond outcome-only scoring."
"B06","DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning","arXiv","2025","https://arxiv.org/abs/2501.12948","yes","frontier llm training; reasoning RL; verifiable post-training","RLVR; rule-based rewards; cold-start SFT; reasoning trace exploration","RL on verifiable rewards unlocks strong reasoning; clear gains; strong open reference","verbose traces; reward exploitation risk; weaker on non-verifiable domains","AIME 2024; MATH-500; LiveCodeBench; GPQA Diamond","reasoning;rlvr;post-training","The dominant open reasoning-RL endpoint and an unavoidable baseline."
"B07","Absolute Zero: Reinforced Self-play Reasoning with Zero Data","arXiv","2025","https://arxiv.org/abs/2505.03335","partial","frontier llm training; zero-data reasoning self-play","self-play task generation; verifiable rewards; autonomous curriculum; RL reasoning","zero-data self-play; autonomous curriculum; low human data dependence","self-play distribution shift; task grounding risk; evaluation alignment fragile","AIME 2024; MATH-500; LiveCodeBench","self-play;reasoning;rl","Interesting because it pushes reasoning without curated human data."
"C01","LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens","arXiv","2024","https://arxiv.org/abs/2402.13753","yes","frontier llm training; long-context extension; efficient context scaling","RoPE rescaling; progressive extension; readjustment fine-tuning; context interpolation","extreme context extension; progressive scaling; short-context readjustment","short-context regression risk; interpolation heuristics; retrieval grounding unchanged","LongBench; RULER; NIAH","long-context;rope-scaling;context-extension","Best practical context-window extension seed in the pool."
"C02","Titans: Learning to Memorize at Test Time","arXiv","2025","https://arxiv.org/abs/2501.00663","no","frontier llm training; long-context memory; test-time learning","neural memory; surprise-based update; persistent memory; test-time adaptation","trainable test-time memory; persistent memory beyond window; novel memory interface","memory optimization complexity; limited open reproduction; unclear fit with standard decoder stacks","LongBench; BABILong; NIAH","memory;test-time-learning;long-context","High-upside memory idea but with real systems risk."
"C03","ATLAS: Learning to Optimally Memorize the Context at Test Time","arXiv","2025","https://arxiv.org/abs/2505.23735","no","frontier llm training; long-context memory; optimized test-time memorization","memory selection policy; test-time memory optimization; context compression; adaptation","improved memorization policy; sharper optimization story; strong follow-up to Titans","very new; open tooling immature; heavy test-time machinery","BABILong; LongBench; InfiniteBench","memory;test-time-learning;context-compression","Use as both a frontier seed and a caution that Titans-style memory is already moving quickly."
"D01","Mamba: Linear-Time Sequence Modeling with Selective State Spaces","arXiv","2023","https://arxiv.org/abs/2312.00752","yes","frontier llm training; efficient long-sequence architecture","selective state space; recurrent state; linear-time scan; hardware-efficient sequence model","linear-time sequence modeling; strong efficiency; compact recurrent state","tooling less mature than transformers; hybridization often needed; limited mainstream LLM adoption","The Pile; HellaSwag; LAMBADA","ssm;efficient-architecture;long-sequence","Useful precursor and contrast class for transformer-based efficiency work."
"D02","Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality","ICML 2024","2024","https://arxiv.org/abs/2405.21060","yes","frontier llm training; efficient sequence modeling; unified architecture theory","structured state space duality; generalized sequence operator; efficient algorithm; attention-SSM bridge","unifies attention and SSM views; hardware-efficient algorithms; strong theory link","translation to frontier LLM training is nontrivial; abstraction is heavier than direct systems work","PG19; The Pile; Long Range Arena","ssm;theory;efficient-architecture","Useful framing paper when bridging attention and state-space ideas."
"D03","Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention","ACL 2025","2025","https://arxiv.org/abs/2502.11089","yes","frontier llm training; long-context efficient attention; trainable sparsity","native sparse attention; hardware-aligned kernels; learned sparse pattern; long-context training","trainable sparse attention; hardware alignment; strong long-context efficiency","kernel engineering burden; sparse patterns may underfit local detail; stack not yet ubiquitous","RULER; LongBench; PG19","sparse-attention;long-context;hardware-aware","One of the most actionable 2025 long-context efficiency papers."
"D04","Kimi Linear: An Expressive, Efficient Attention Architecture","arXiv","2025","https://arxiv.org/abs/2510.26692","yes","frontier llm training; long-context efficient attention; linear attention","KDA; expressive linear attention; hybrid layer design; kernel optimization","expressive linear attention; strong throughput; hybrid attention design","custom kernels; limited open reproduction at scale; task-specific tuning likely","LongBench; RULER; InfiniteBench","linear-attention;long-context;hardware-aware","Represents the strongest recent linear-attention frontier signal."
