paper_a_id,paper_a_title,paper_a_venue,paper_a_year,paper_b_id,paper_b_title,paper_b_venue,paper_b_year,task_overlap,module_diversity,weakness_coverage,benchmark_overlap,open_source_bonus,narrative_bonus,redundancy_penalty,disconnect_penalty,total_score,rationale,hypothesis_stub
A03,2 OLMo 2 Furious,arXiv,2025,A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,0.5,1.0,0.0667,1.0,1.0,1.0,0.0,0.0,68.83,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use data curation from A03 with open MoE routing from A09 for frontier llm training, targeting smaller than proprietary frontier as the main gain hypothesis."
D03,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,ACL 2025,2025,D04,"Kimi Linear: An Expressive, Efficient Attention Architecture",arXiv,2025,0.6667,0.9412,0.0,0.5,1.0,1.0,0.0,0.0,65.2,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use native sparse attention from D03 with KDA from D04 for frontier llm training, targeting custom kernels as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,A03,2 OLMo 2 Furious,arXiv,2025,0.75,0.8,0.0,0.6,1.0,1.0,0.0,0.0,64.75,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with data curation from A03 for frontier llm training, targeting dense architecture as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,0.6667,0.875,0.0,0.6,1.0,1.0,0.0,0.0,64.54,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with open MoE routing from A09 for frontier llm training, targeting smaller than proprietary frontier as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,0.5,1.0,0.0,0.6,1.0,1.0,0.0,0.0,63.5,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with open MoE routing from A09 for frontier llm training, targeting smaller than proprietary frontier as the main gain hypothesis."
C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,D04,"Kimi Linear: An Expressive, Efficient Attention Architecture",arXiv,2025,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.0,62.5,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use RoPE rescaling from C01 with KDA from D04 for frontier llm training, targeting custom kernels as the main gain hypothesis."
C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,D03,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,ACL 2025,2025,0.4545,1.0,0.0,0.5,1.0,1.0,0.0,0.0,61.36,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use RoPE rescaling from C01 with native sparse attention from D03 for frontier llm training, targeting kernel engineering burden as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.5556,1.0,0.0,0.1667,1.0,1.0,0.0,0.0,60.56,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use layer-wise scaling from A04 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A03,2 OLMo 2 Furious,arXiv,2025,0.5556,0.7692,0.0667,0.6,1.0,1.0,0.0,0.0,60.45,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with data curation from A03 for frontier llm training, targeting dense architecture as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,0.5556,0.875,0.0667,0.3333,1.0,1.0,0.0,0.0,60.43,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with open data pipeline from A02 for frontier llm training, targeting dense architecture as the main gain hypothesis."
A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,B02,Nemotron-4 340B Technical Report,arXiv,2024,0.5,1.0,0.0667,0.125,1.0,1.0,0.0,0.0,60.08,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use web filtering from A05 with synthetic data generation from B02 for frontier llm training, targeting heavy teacher stack as the main gain hypothesis."
B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,0.625,0.9286,0.0556,0.0,1.0,1.0,0.0,0.0,59.95,shared task signal; different mechanism families; both papers appear open-source,"Use SFT from B01 with RLVR from B06 for frontier llm training, targeting verbose traces as the main gain hypothesis."
A07,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing,ICLR 2025,2024,B03,Self-Rewarding Language Models,arXiv,2024,0.5556,1.0,0.0,0.6667,0.4,1.0,0.0,0.0,59.56,shared task signal; different mechanism families; evaluation overlap is available; partial code availability,"Use aligned teacher prompting from A07 with LLM-as-judge from B03 for frontier llm training, targeting judge drift as the main gain hypothesis."
A03,2 OLMo 2 Furious,arXiv,2025,A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,0.25,1.0,0.0769,0.6,1.0,1.0,0.0,0.0,58.79,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use data curation from A03 with MoE routing from A08 for frontier llm training, targeting routing instability risk as the main gain hypothesis."
